,PC1,PC2,PC3,PC4,PC5,PC6
MKT_RF,-0.41833485790550506,0.021743414087930905,0.5806299032820196,-0.5065486293478716,0.44102569175080814,0.19051748303294255
SMB,-0.11276579193349456,0.7198268328281752,0.3670352482974086,0.18329463011016728,-0.1934360635252647,-0.5132288975866978
HML,0.5236177850408353,0.25677826136774845,0.31928412509459664,-0.229522440301279,-0.44083684533598094,0.5576103588822846
RMW,0.18595952531481072,-0.6297550224404902,0.517129050781036,-0.03284831167704573,-0.3184437588232858,-0.44600422910600035
CMA,0.5111381774837681,0.010874800128934612,0.29689948076832595,0.49229727916497257,0.6367918458858133,0.051085560585454194
MOM,-0.49220021991358814,-0.13686427439784662,0.26578173854189807,0.6431915666607019,-0.25851773985091875,0.4334055469501251
